POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,RESALE,LONGITUDE,LATITUDE,IN_CITY,CITY_2,SQFT_P_ROOM,Lo+Li,Rare_House,City_Type,Area,l*l,BHK_CITY,BHK_IN_CITY,multi
1,0,0,2,1,1100.0,1,3.0518238129301594,4.370498692546197,5535,305,550.0,7.422322505476357,0,2,2,4.876337516189063,307,5537,2200.0
0,0,1,3,1,2178.649237,1,2.5720285484476633,4.351740968830982,4267,24,726.2164123333333,6.923769517278645,0,0,4,4.111067525578657,27,4270,6535.947711000001
1,0,0,2,1,881.1435285,1,2.5687881337687024,4.383400690227027,6683,59,440.57176425,6.952188823995728,0,0,1,4.135450318152406,61,6685,1762.287057
0,0,0,2,1,944.8818898,1,2.915208696114452,4.303132766831081,9622,229,472.4409449,7.218341462945533,0,0,1,4.604099944711293,231,9624,1889.7637796
0,0,1,3,1,1310.147689,1,3.3500479365769205,4.348748470548351,8054,207,436.7158963333334,7.698796407125273,0,0,3,5.25752668256113,210,8057,3930.4430669999997
0,0,0,1,1,630.00063,1,2.947300145282057,4.288272942913324,906,192,630.00063,7.23557308819538,0,0,0,4.635149395705344,193,907,630.00063
0,0,0,2,1,1219.80971,1,3.049546889237951,4.370440992051996,5648,199,609.904855,7.4199878812899485,0,1,2,4.873011194679795,201,5650,2439.61942
1,0,0,2,1,780.141844,1,3.115340753184367,4.481167875673758,4426,164,390.070922,7.596508628858126,0,0,0,5.092123749360182,166,4428,1560.283688
1,0,0,3,1,1600.0,1,3.354665016744661,4.349422396295699,7475,95,533.3333333333334,7.70408741304036,0,0,4,5.264331745902976,98,7478,4800.0
0,0,0,2,1,1180.412371,1,3.424681687307852,4.339230779308912,8023,188,590.2061855000002,7.763912466616764,0,1,2,5.341630100289984,190,8025,2360.824742
1,1,0,2,1,1000.0,1,3.1978564576441255,4.462453883786496,5296,72,500.0,7.660310341430621,0,2,1,5.187516641119522,74,5298,2000.0
0,0,0,2,1,1000.0,1,3.3396836146732825,4.3419933915074775,321,45,500.0,7.681677006180759,0,1,1,5.235905954515068,47,323,2000.0
0,0,0,3,1,1400.107701,1,3.3465556805951406,4.348566976728093,7950,88,466.702567,7.695122657323233,0,3,3,5.252771734981653,91,7953,4200.323103
0,0,1,2,1,943.1266076,1,3.3500479365769205,4.348748470548351,8054,207,471.5633038,7.698796407125273,0,0,1,5.25752668256113,209,8056,1886.2532152
1,0,0,2,1,1150.146382,1,3.2803962711963672,4.315796470180832,3283,124,575.0731910000002,7.596192741377199,0,3,2,5.127011828324186,126,3285,2300.292764
0,1,1,1,1,864.0674393999999,1,2.953868069455292,4.289956986171905,9371,172,864.0674393999999,7.243825055627197,0,0,1,4.646518998081938,173,9372,864.0674393999999
0,0,1,2,1,857.7861968000003,0,2.9536542822665877,4.2898044321562825,5396,178,428.89309840000016,7.24345871442287,0,0,1,4.646043277194389,180,5398,1715.5723936000006
1,0,0,3,1,1174.210077,1,2.553512746487226,4.384733293366175,9365,59,391.403359,6.9382460398534,0,0,2,4.1105557401620105,62,9368,3522.630231
0,1,1,2,1,1020.087884,1,2.923123945602361,4.300850472383287,10139,229,510.043942,7.223974417985648,0,0,1,4.613319683451036,231,10141,2040.175768
1,0,0,4,1,1650.165017,1,3.1051274739138868,4.285987759435518,9847,294,412.54125425,7.391115233349406,0,1,4,4.856258870461198,298,9851,6600.660068
0,1,0,2,1,1000.0,1,2.8800539339701325,4.423146744753279,4787,301,500.0,7.303200678723411,0,1,1,4.678844528007914,303,4789,2000.0
1,0,0,3,1,1300.052002,1,2.556768911744928,4.350908885656021,9837,24,433.35066733333326,6.9076777974009484,0,0,3,4.084390992228219,27,9840,3900.1560059999997
0,0,1,2,1,1058.114928,1,2.919920419848972,4.30051390329475,9157,229,529.057464,7.220434323143723,0,0,2,4.608243034804605,231,9159,2116.229856
0,1,0,1,1,400.0,1,2.9201355013796153,4.303305345209279,4175,229,400.0,7.223440846588894,0,0,0,4.611551192230059,230,4176,400.0
0,0,1,3,1,1274.924779,1,3.126918111264053,4.427896025630252,5114,192,424.97492633333326,7.554814136894305,0,0,3,5.048013523361527,195,5117,3824.774337
0,0,0,2,1,1026.694045,1,2.945220673563751,4.288624882662239,10116,172,513.3470225,7.23384555622599,0,0,1,4.632502890500803,174,10118,2053.38809
1,0,0,2,1,1150.121065,1,3.013899741175548,4.289088639014612,5726,296,575.0605325,7.302988380190159,0,2,2,4.731871998150145,298,5728,2300.24213
1,0,0,3,1,1200.0,1,3.3485321992980595,4.344316862474202,6485,95,400.0,7.692849061772263,0,0,2,5.250202939258808,98,6488,3600.0
0,0,0,1,0,475.0103263,1,3.206409643916518,4.362064842211598,872,172,475.0103263,7.568474486128117,0,0,0,5.082467790612553,173,873,475.0103263
2,1,1,1,1,301.9171163000001,0,3.206409643916518,4.362064842211598,9258,172,301.9171163000001,7.568474486128117,0,0,0,5.082467790612553,173,9259,301.9171163000001
0,1,1,2,1,1228.571429,1,2.552865253270813,4.3154229291769965,1374,183,614.2857144999998,6.8682881824478095,0,1,2,4.044484957053671,185,1376,2457.142858
1,0,0,2,1,986.0164934,1,2.570868344109045,4.383918007400288,655,59,493.0082467,6.954786351509331,0,0,1,4.1394870427688355,61,657,1972.0329868
0,1,1,3,1,1972.565158,1,3.3475104177145285,4.3483548497032585,7954,88,657.5217193333333,7.695865267417787,0,3,4,5.253755862989435,91,7957,5917.695474
0,1,1,1,1,420.6166888,1,2.9469832660376123,4.288914549787888,8838,172,420.6166888,7.2358978158255,0,0,0,4.635381754038538,173,8839,420.6166888
0,1,1,1,1,406.024219,0,2.9572693172304727,4.292164520919905,3800,178,406.024219,7.249433838150378,0,0,0,4.6538494066795035,179,3801,406.024219
0,0,0,3,1,1862.562189,1,3.3475104177145285,4.3483548497032585,7954,88,620.854063,7.695865267417787,0,3,4,5.253755862989435,91,7957,5587.686567
1,0,0,2,1,950.0146156,1,2.9901562564251356,4.322056860897659,5598,19,475.0073078,7.312213117322796,0,2,1,4.734059721962664,21,5600,1900.0292312
0,0,0,2,1,1049.969344,1,2.5637978485757387,4.3508433248841785,1006,24,524.9846719999998,6.914641173459919,0,0,2,4.0962741494605535,26,1008,2099.938688
0,0,0,3,1,1615.008157,1,3.1174937845714337,4.4815660065520735,5044,164,538.3360523333333,7.5990597911235085,0,0,4,5.0956723292168995,167,5047,4845.024471
0,0,0,3,1,1150.0069,1,2.945220673563751,4.288624882662239,10116,172,383.33563333333336,7.23384555622599,0,0,2,4.632502890500803,175,10119,3450.0207
1,0,0,2,1,1100.0,1,3.2941816450297443,4.327237671760757,3565,124,550.0,7.621419316790501,0,3,2,5.158750032263771,126,3567,2200.0
0,1,1,2,1,906.2661833,0,3.206409643916518,4.362064842211598,872,172,453.13309164999987,7.568474486128117,0,0,1,5.082467790612553,174,874,1812.5323666
1,0,0,3,1,1454.333915,1,2.3767644911682972,4.3357208817973705,6674,211,484.7779716666666,6.712485372965668,0,2,3,3.7536074527170307,214,6677,4363.001745
1,0,0,3,1,1591.994542,1,3.3501305177776346,4.349110390526718,8056,207,530.6648473333332,7.699240908304353,0,0,4,5.258071442162256,210,8059,4775.983625999999
0,0,1,2,1,573.8769151,1,3.34661404945176,4.348244748251822,7952,88,286.93845755,7.6948587977035805,0,3,0,5.252458344129709,90,7954,1147.7538302
0,0,1,3,1,1038.883942,1,2.9507349076232554,4.289225803818339,6702,192,346.2946473333333,7.239960711441594,0,0,1,4.641175055501548,195,6705,3116.651826
1,0,0,3,1,1538.141758,1,2.5736719738239393,4.3515459063390445,10232,24,512.7139193333334,6.925217880162983,0,0,3,4.113662830291008,27,10235,4614.425274
0,0,0,3,1,1602.084012,1,3.345271231802404,4.348634392933047,7941,88,534.028004,7.693905624735451,0,3,4,5.251183789969306,91,7944,4806.252036
1,0,0,2,1,1200.0,1,2.804370173924214,4.389705451948824,4786,299,600.0,7.194075625873039,0,2,2,4.526571976556636,301,4788,2400.0
1,0,0,2,1,760.0709400000003,1,2.764220682653276,4.310799125385514,9463,33,380.03547000000015,7.07501980803879,0,2,0,4.383042706469527,35,9465,1520.1418800000006
1,1,0,2,1,739.8273736000001,1,3.1463051320333655,4.349202132082888,10756,47,369.91368680000005,7.495507264116252,0,1,0,4.9851806990950935,49,10758,1479.6547472000002
1,0,0,2,1,1260.02291,1,2.57196316464779,4.3146093070798415,5387,183,630.011455,6.886572471727631,0,1,3,4.075879750353162,185,5389,2520.04582
1,0,0,2,1,1100.151745,1,3.0489732799185014,4.370864127556833,5001,199,550.0758725,7.419837407475335,0,1,2,4.872660765918669,201,5003,2200.30349
0,0,1,3,1,2293.077091,1,2.9201355013796153,4.303305345209279,4175,229,764.3590303333334,7.223440846588894,0,0,4,4.611551192230059,232,4178,6879.231273
0,0,0,2,1,1146.480331,1,2.955748313201657,4.288014276085156,8412,172,573.2401655,7.2437625892868125,0,0,2,4.647143426304907,174,8414,2292.960662
0,0,0,2,1,759.8784195000003,1,3.11138112234172,4.480728182283995,3584,164,379.93920975000015,7.5921093046257155,0,0,0,5.085925433894646,166,3586,1519.7568390000006
1,0,0,4,1,2260.251857,1,2.561142119118583,4.351505569605929,10193,24,565.06296425,6.912647688724513,0,0,4,4.092387769776338,28,10197,9041.007428
0,0,0,3,1,767.0182167,1,3.032168633221045,4.383333305607463,1958,178,255.67273889999998,7.415501938828507,0,0,0,4.8623355709989,181,1961,2301.0546501
1,0,0,4,1,2500.0,1,3.355735123864461,4.349202132082888,7134,95,625.0,7.704937255947349,0,0,4,5.265452282723628,99,7138,10000.0
0,1,1,4,1,2286.236854,1,3.044522437723423,4.343805421853683,2781,174,571.5592134999998,7.388327859577108,0,1,4,4.836149937979943,178,2785,9144.947416
1,0,1,2,1,1150.086256,1,3.352625748613059,4.348854743455388,8388,207,575.043128,7.7014804920684465,0,0,2,5.261000255989019,209,8390,2300.172512
0,0,1,2,1,1004.932182,1,2.9426539131995613,4.292488586519191,5967,192,502.466091,7.235142499718753,0,0,1,4.632933864958175,194,5969,2009.864364
1,0,0,2,1,800.0,1,3.1166091849040196,4.481529377028798,6732,164,400.0,7.598138561932818,0,0,1,5.094358850425362,166,6734,1600.0
0,1,0,3,1,993.75,1,3.2848941380732195,4.4823215065957696,9025,268,331.25,7.767215644668988,0,2,1,5.3309792742420745,271,9028,2981.25
0,0,0,2,1,1298.139334,1,3.1428575615773453,4.349992592426787,3507,47,649.069667,7.492850154004133,0,1,3,4.9813176206124785,49,3509,2596.278668
0,0,1,2,1,996.797438,1,3.29216070980713,4.327780656455312,6971,95,498.398719,7.619941366262442,0,0,1,5.15674150691335,97,6973,1993.594876
1,0,0,2,1,985.0194952,1,2.563837970869419,4.352390413185545,1502,24,492.5097476,6.916228384054963,0,0,1,4.0977988295887995,26,1504,1970.0389904
0,0,0,3,1,1118.75,1,2.5585566599502783,4.3844346081772425,5185,59,372.91666666666674,6.942991268127521,0,0,2,4.118927694083782,62,5188,3356.25
0,0,1,2,1,889.8305085000003,1,3.3501305177776346,4.349110390526718,8056,207,444.91525425000015,7.699240908304353,0,0,1,5.258071442162256,209,8058,1779.6610170000006
0,1,1,3,1,2488.004265,1,3.4227673352057617,4.340324396081628,8418,188,829.334755,7.763091731287389,0,1,4,5.340549489154434,191,8421,7464.012795000001
0,0,0,3,1,1200.082764,1,3.1444607224778927,4.4819225452877065,7725,164,400.027588,7.6263832677656,0,0,2,5.134680519591106,167,7728,3600.248292
0,0,0,2,1,1584.283904,1,3.2756015428865908,4.375844087052375,9461,149,792.141952,7.651445629938966,0,2,4,5.191945701869434,151,9463,3168.567808
1,0,0,2,1,900.0,1,3.145259424181118,4.283818121255578,3788,92,450.0,7.429077545436696,0,1,1,4.908811654448643,94,3790,1800.0
0,0,1,2,1,1193.440032,1,2.914590328607141,4.312775171719324,9248,229,596.720016,7.227365500326465,0,0,2,4.613501839803171,231,9250,2386.880064
1,0,0,2,1,1487.357462,1,3.290734984623403,4.327614006535299,5083,124,743.678731,7.618348991158703,0,3,3,5.154668384723336,126,5085,2974.714924
1,1,1,2,1,989.9029895,1,3.350026886751984,4.349328414738552,8072,207,494.95149475,7.699355301490535,0,0,1,5.2582004915588465,209,8074,1979.805979
0,0,0,2,1,1155.020213,1,2.9521912733858677,4.289535850386158,1172,178,577.5101065,7.2417271237720255,0,0,2,4.643627165242219,180,1174,2310.040426
1,0,0,2,1,949.893137,1,2.4790562361098245,4.3798993736577065,2428,226,474.9465685,6.8589556097675315,0,2,1,3.9764140111001236,228,2430,1899.786274
1,0,0,2,1,875.0,1,3.352032312224525,4.348808573503272,8398,207,437.5,7.7008408857277955,0,0,1,5.2601745668628554,209,8400,1750.0
0,0,0,2,1,853.3611982000001,1,2.562632059214069,4.351541138183826,434,24,426.68059910000005,6.914173197397895,0,0,1,4.094951985996083,26,436,1706.7223964000002
1,0,0,1,1,483.0917874,1,2.9152974056623537,4.292029440930212,7284,234,483.0917874,7.207326846592566,0,2,0,4.592350640625653,235,7285,483.0917874
0,0,0,2,1,800.0,1,2.953868069455292,4.289956986171905,9371,178,400.0,7.243825055627197,0,0,1,4.646518998081938,180,9373,1600.0
1,0,0,2,1,802.0415602999999,1,3.355735123864461,4.349202132082888,466,95,401.02078015,7.704937255947349,0,0,1,5.265452282723628,97,468,1604.0831205999998
0,0,1,2,1,610.0660905,1,2.570309275096963,4.384503851337497,4392,59,305.03304525,6.95481312643446,0,0,0,4.13908665071933,61,4394,1220.132181
1,0,0,3,1,1680.107527,1,3.3625256084804214,4.366358464966848,5688,149,560.0358423333333,7.728884073447269,0,2,4,5.295049554996804,152,5691,5040.322580999999
1,0,0,2,1,1150.136038,1,2.9947657065785984,4.373205795205093,6051,124,575.068019,7.367971501783693,0,3,2,4.7968207491627775,126,6053,2300.272076
1,0,0,3,1,1550.114497,1,3.3525712990306116,4.348755952923431,8390,207,516.7048323333332,7.701327251954042,0,0,3,5.260810116566986,210,8393,4650.343491
1,0,0,5,1,1699.834163,1,3.3558896467909305,4.3485771359792675,7447,95,339.96683260000003,7.7044667827702,1,0,4,5.2648958542778415,100,7452,8499.170815
1,1,0,3,1,1600.170685,1,2.297817646760264,4.335502168433846,9529,161,533.3902283333333,6.633319815194111,0,1,4,3.606963617785089,164,9532,4800.512055
1,0,0,1,1,600.0566091,1,2.9311937524164198,4.291554731509806,6545,234,600.0566091,7.222748483926227,0,2,0,4.6151798613804775,235,6546,600.0566091
0,0,1,2,1,1429.200617,1,3.4229948806231905,4.340502336304335,8357,188,714.6003085,7.763497216927526,0,1,3,5.341056982399803,190,8359,2858.401234
1,0,0,2,1,1115.1379980000004,1,2.565570010970141,4.352228226854213,2247,24,557.5689990000002,6.9177982378243525,0,0,2,4.100585352177918,26,2249,2230.2759960000008
1,0,0,3,1,1811.196487,1,3.1508350714015703,4.446581405679423,3898,244,603.7321623333332,7.597416477080992,0,1,4,5.103197053162328,247,3901,5433.589461
1,0,0,2,1,1045.036079,1,3.1108080924481585,4.481824796585265,5650,164,522.5180395,7.592632889033422,0,0,1,5.086344660756809,166,5652,2090.072158
1,0,0,3,1,1298.219585,1,2.5526397503188525,4.352333126234865,2401,24,432.73986166666674,6.9049728765537175,0,0,3,4.078693324654269,27,2404,3894.6587550000004
1,1,1,2,1,1109.165207,1,2.5861263792113305,4.3141134658125,4020,292,554.5826035,6.900239845023831,0,2,2,4.099103010584892,294,4022,2218.330414
0,0,1,2,1,1041.195111,1,3.35327803821827,4.348746829329058,8379,207,520.5975555,7.702024867547327,0,0,1,5.261715720977751,209,8381,2082.390222
0,0,0,3,1,2135.748916,1,3.346191062169737,4.34843400510444,7948,88,711.9163053333333,7.6946250672741785,0,3,4,5.2521373121185935,91,7951,6407.246748
1,0,1,3,1,1850.180505,1,3.3526723223493256,4.3493894514508735,6071,207,616.7268349999999,7.702061773800199,0,0,4,5.2617075357733984,210,6074,5550.541515
0,0,0,3,1,1665.080875,1,3.14270705380324,4.285437124375166,4424,92,555.0269583333334,7.428144178178406,0,1,4,4.907187830638854,95,4427,4995.242625000001
1,0,1,2,1,398.2621289,1,3.284931469591579,4.394231180300467,6822,174,199.13106445,7.679162649892047,0,1,0,5.22626035502974,176,6824,796.5242578
1,0,0,2,1,1005.025126,1,2.5494522021508526,4.353007369356111,1589,24,502.512563,6.902459571506963,0,0,1,4.073886065681391,26,1591,2010.050252
0,0,1,2,1,1294.016156,1,2.951170168532016,4.288064905301483,50,192,647.0080780000002,7.239235073833499,0,0,3,4.640551383219327,194,52,2588.032312
0,0,1,3,1,1536.806516,1,3.354884646130559,4.3482694691257455,8205,95,512.2688386666667,7.703154115256305,0,0,3,5.263220969482839,98,8208,4610.419548
1,0,0,2,1,1123.188406,1,2.5635329702431897,4.352506419187859,3708,24,561.594203,6.916039389431049,0,0,2,4.097390233926338,26,3710,2246.376812
0,0,0,2,1,800.1939864,1,3.2941816450297443,4.327237671760757,3565,124,400.0969932,7.621419316790501,0,3,1,5.158750032263771,126,3567,1600.3879728
0,0,0,3,1,1513.775356,1,2.557643348843041,4.3513148566361215,3366,24,504.59178533333335,6.908958205479162,0,0,3,4.086260028094464,27,3369,4541.326068
1,0,0,3,1,1280.0,1,2.2956079089563874,4.334296366740936,6660,161,426.66666666666674,6.629904275697324,0,1,3,3.6017902794325463,164,6663,3840.0
1,0,0,1,1,410.0678733,1,3.352316823407301,4.348016878868482,8118,174,410.0678733,7.700333702275782,0,1,0,5.259585991221862,175,8119,410.0678733
0,0,0,2,1,890.0451868999999,1,3.352808182095672,4.348210445734009,8165,192,445.02259344999993,7.701018627829682,0,0,1,5.260457422677919,194,8167,1780.0903737999997
1,0,0,2,1,977.7082519,1,3.099028660362856,4.328352877653061,1307,121,488.85412595,7.427381538015918,0,1,1,4.89575114649742,123,1309,1955.4165038
0,0,0,2,1,1099.855282,1,2.5631882691939705,4.351280324123362,9192,24,549.927641,6.914468593317332,0,0,2,4.095650877979402,26,9194,2199.710564
1,1,0,2,1,1050.241272,1,3.2694031459731034,4.2909994323132175,6414,139,525.120636,7.560402578286321,0,2,2,5.083149870071385,141,6416,2100.482544
0,0,1,3,1,1400.241838,1,3.29216070980713,4.327780656455312,6971,95,466.7472793333334,7.619941366262442,0,0,3,5.15674150691335,98,6974,4200.725514
0,0,0,3,1,1740.139211,1,2.947013504335879,4.291530538551587,7830,192,580.0464036666666,7.238544042887466,0,0,4,4.6382531018269875,195,7833,5220.417633
0,0,1,2,1,1149.131767,1,3.206409643916518,4.362064842211598,5114,172,574.5658835,7.568474486128117,0,0,2,5.082467790612553,174,5116,2298.263534
0,0,0,2,1,650.1950585,1,2.4003176092982192,4.342552468404072,9723,63,325.09752925,6.742870077702291,0,1,0,3.8023435696517596,65,9725,1300.390117
1,0,0,2,1,1355.01355,1,3.2913106380718173,4.32783250535112,2802,124,677.506775,7.619143143422938,0,3,3,5.155685649392165,126,2804,2710.0271
0,0,0,3,1,1800.0720030000002,1,2.562632059214069,4.351541138183826,7197,24,600.0240010000001,6.914173197397895,0,0,4,4.094951985996083,27,7200,5400.216009000001
0,0,1,2,1,907.6305221,1,3.0708991134807415,4.306930982617215,9258,178,453.81526105000006,7.377830096097956,0,0,1,4.832249032381294,180,9260,1815.2610442
0,0,0,3,1,1636.296021,1,2.575781325453341,4.353495412790752,1446,24,545.432007,6.929276738244092,0,0,4,4.119072377216478,27,1449,4908.888063
1,0,0,2,1,900.2520706,1,3.1028521705923255,4.293407597909699,9304,294,450.1260353,7.3962597685020235,0,1,1,4.861518776948705,296,9306,1800.5041412
1,0,0,2,1,1318.0440230000004,1,2.5576565215693297,4.352781419383811,2260,24,659.0220115000002,6.910437940953139,0,0,3,4.087659675266835,26,2262,2636.0880460000008
0,0,1,3,1,1949.586451,1,3.4237583906656477,4.339793853795706,8428,188,649.8621503333334,7.763552244461354,0,1,4,5.341153080500134,191,8431,5848.7593529999995
0,0,0,3,1,1643.36522,1,2.2956079089563874,4.334296366740936,3728,161,547.7884066666667,6.629904275697324,0,1,4,3.6017902794325463,164,3731,4930.09566
0,0,0,3,1,1233.045623,1,2.942331496826876,4.287990642747287,3890,178,411.0152076666666,7.230322139574162,0,0,2,4.627609334886313,181,3893,3699.136869
0,0,0,1,1,655.0802139,1,2.9425682304066463,4.2907275421923945,7848,178,655.0802139,7.233295772599042,0,0,0,4.630908211743466,179,7849,655.0802139
1,0,0,2,1,1180.173092,1,2.562632059214069,4.351541138183826,2461,24,590.086546,6.914173197397895,0,0,2,4.094951985996083,26,2463,2360.346184
1,0,0,3,1,1200.087279,1,3.3558896467909305,4.3485771359792675,7447,95,400.02909299999993,7.7044667827702,0,0,2,5.2648958542778415,98,7450,3600.261837
1,0,0,2,1,850.0991782,1,3.2931957888357846,4.3284676439547995,243,124,425.0495891,7.621663432790585,0,3,1,5.158920770310823,126,245,1700.1983564
1,0,0,2,1,900.0163639,1,2.5594399778936228,4.351383402525714,7291,24,450.00818195,6.9108233804193375,0,0,1,4.089379976025012,26,7293,1800.0327278
0,1,0,4,1,2472.952087,1,2.9164652316406396,4.302577622603228,5477,229,618.23802175,7.219042854243868,0,0,4,4.605360103232004,233,5481,9891.808348
0,0,0,2,1,904.0656205,1,3.0006408567240217,4.370812237725695,9125,24,452.03281025,7.371453094449715,0,0,1,4.8027616242512154,26,9127,1808.131241
0,1,1,1,1,265.0033933,1,2.9504472093383063,4.288693499228773,442,172,265.0033933,7.2391407085670805,0,0,0,4.640180902678858,173,443,265.0033933
0,1,1,3,1,1570.306924,1,3.26448646350878,4.327878347617864,9506,124,523.4356413333334,7.592364811126645,0,3,4,5.120323541554425,127,9509,4710.9207719999995
0,0,0,2,1,955.4140127,1,2.9577758568410406,4.290206347479055,3155,172,477.70700635,7.2479822043200945,0,0,1,4.652461015665052,174,3157,1910.8280254
0,0,0,2,1,1000.0,1,3.3531817274824127,4.348505424452322,8315,207,500.0,7.701687151934736,0,0,1,5.261298739128296,209,8317,2000.0
0,0,0,4,1,2494.747899,1,2.564586599365082,4.353714566311578,3704,24,623.68697475,6.91830116567666,0,0,4,4.10031660521687,28,3708,9978.991596
1,0,0,2,1,1150.130348,1,2.573382925511582,4.384641961722701,10017,59,575.0651740000002,6.9580248872342825,0,0,2,4.144457180096873,61,10019,2300.260696
0,0,0,2,1,1210.136674,1,2.9453227990089097,4.291779938770532,3853,192,605.068337,7.237102737779442,0,0,2,4.6360597455966435,194,3855,2420.273348
0,0,0,2,1,1365.001365,1,2.951074755726087,4.290453413732966,8001,192,682.5006825,7.241528169459054,0,0,3,4.64299751650055,194,8003,2730.00273
0,1,1,2,1,499.6366279,0,2.9577758568410406,4.290206347479055,3155,178,249.81831395,7.2479822043200945,0,0,0,4.652461015665052,180,3157,999.2732558
0,0,0,2,1,1050.144395,1,3.103294992580993,4.293042772705091,5053,294,525.0721975,7.396337765286084,0,1,2,4.86171831316448,296,5055,2100.28879
1,0,0,1,1,476.02046889999986,1,2.5665601363834085,4.383934488562697,4754,59,476.02046889999986,6.9504946249461055,0,0,0,4.132149936277176,60,4755,476.02046889999986
0,0,0,2,1,985.452839,1,3.3512636538730227,4.348554064248448,2988,207,492.7264195,7.699817718121471,0,0,1,5.258869434672778,209,2990,1970.905678
0,0,0,2,1,1045.296167,1,3.345271231802404,4.348634392933047,7941,88,522.6480835,7.693905624735451,0,3,1,5.251183789969306,90,7943,2090.592334
0,1,1,2,1,1301.89498,1,2.554121718809473,4.353961466405538,7679,24,650.94749,6.908083185215012,0,0,3,4.082746303820259,26,7681,2603.78996
1,0,0,2,1,2000.0,1,3.3396836146732825,4.3419933915074775,321,45,1000.0,7.681677006180759,0,1,4,5.235905954515068,47,323,4000.0
0,0,0,2,1,1192.0,1,3.0099591400485513,4.452146107973292,5713,48,596.0,7.462105248021842,0,1,2,4.905937795762135,50,5715,2384.0
0,1,0,1,1,448.5310608,1,2.95603313797495,4.291041107564116,3890,192,448.5310608,7.247074245539067,0,0,0,4.65083723820578,193,3891,448.5310608
1,0,0,2,1,750.0604887000003,1,3.355735123864461,4.349202132082888,2959,95,375.03024435000015,7.704937255947349,0,0,0,5.265452282723628,97,2961,1500.1209774000006
0,0,0,2,1,1060.0706710000004,1,2.946545495743766,4.292038290000744,7283,178,530.0353355000002,7.23858378574451,0,0,2,4.638120212592598,180,7285,2120.141342000001
0,0,1,3,1,1415.09434,1,2.5530169096656707,4.352503844283903,2399,24,471.69811333333337,6.905520753949574,0,0,3,4.079496355894868,27,2402,4245.283020000001
0,0,0,2,1,1160.062565,1,2.942331496826876,4.287990642747287,8229,178,580.0312825,7.230322139574162,0,0,2,4.627609334886313,180,8231,2320.12513
0,0,0,3,1,1690.024732,1,2.95290305757857,4.288719572289608,2819,172,563.3415773333334,7.241622629868178,0,0,4,4.6437774067229265,175,2822,5070.0741960000005
