POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),CITY,CITY_2,ZONE
Dealer,0,0,2,BHK,7.073619123359512,1,1,"Sector-115 Mohali,Mohali",1.231008529382878,4.339230779308912,3.1311369105601936,Mohali,Mohali,1
Owner,1,0,2,BHK,6.907755278982138,0,1,"Mohan Asram,Deoghar",1.1624807283650387,4.4624538837864955,3.6635616461296463,Deoghar,Town,3
Dealer,0,0,3,BHK,7.24430444193016,1,1,"Sector 84 Faridabad,Faridabad",1.2079316618767808,4.348566976728093,3.951243718581428,Faridabad,Faridabad,1
Dealer,0,1,2,BHK,6.849200534066718,1,1,"Sector-134 Noida,Noida",1.2089746551605427,4.348748470548351,3.49650756146648,Noida,Noida,1
Owner,0,0,2,BHK,7.047644501952429,1,1,"Indra Colony,Jaipur",1.1879642294877182,4.315796470180832,4.007333185232471,Jaipur,Jaipur,1
Dealer,1,1,1,BHK,6.761650820619044,0,1,"Thane West,Lalitpur",1.083115521451465,4.289956986171905,4.4067192472642525,Lalitpur,Lalitpur,0
Dealer,0,1,2,BHK,6.754354880556718,1,0,"Mulund (West),Maharashtra",1.0830431434980456,4.2898044321562825,5.48063892334199,Maharashtra,Maharashtra,0
Owner,0,0,3,BHK,7.068350925606547,1,1,"Thalambur,Chennai",0.9374699588640938,4.384733293366175,4.007333185232471,Chennai,Chennai,4
Dealer,1,1,2,BHK,6.927644063351004,0,1,"Wakad,Pune",1.0726528887888995,4.300850472383287,4.174387269895637,Pune,Pune,0
Owner,0,0,4,BHK,7.4086305721969605,1,1,"Vasna,Vadodara",1.133054768943341,4.285987759435518,4.174387269895637,Vadodara,Vadodara,7
Dealer,1,0,2,BHK,6.907755278982138,0,1,"Madhurawada,Visakhapatnam",1.0578090210454678,4.423146744753279,3.555348061489413,Visakhapatnam,Visakhapatnam,8
Owner,0,0,3,BHK,7.170159544188049,1,1,"Vasanthapura,Bangalore",0.9387443174674486,4.350908885656021,4.31748811353631,Bangalore,Bangalore,4
Dealer,0,1,2,BHK,6.964244234117937,1,1,"Sus,Pune",1.0715563624324282,4.30051390329475,4.174387269895637,Pune,Pune,0
Dealer,1,0,1,BHK,5.991464547107983,0,1,"Kharadi,Pune",1.071630019785591,4.303305345209279,3.4011973816621555,Pune,Pune,0
Dealer,0,1,3,BHK,7.150642458989397,1,1,"Marol,Mumbai",1.1400478904973856,4.427896025630252,5.521460917862246,Mumbai,Mumbai,3
Dealer,0,0,2,BHK,6.934099254151738,1,1,"Wadala East,Lalitpur",1.0801837458969124,4.288624882662239,5.393627546352363,Lalitpur,Lalitpur,0
Owner,0,0,2,BHK,7.047622489729429,1,1,"Near Ambamata Mandir,Vapi",1.1032348352766286,4.2890886390146115,3.6375861597263857,Vapi,Vapi,0
Owner,0,0,3,BHK,7.090076835776093,1,1,"Patel Nagar-II,Ghaziabad",1.208522100358186,4.344316862474202,4.0943445622220995,Ghaziabad,Ghaziabad,1
Dealer,0,0,1,RK,6.163336543377287,1,1,"Balkum,Lalitpur",1.1651518201723257,4.362064842211598,3.828641396489095,Lalitpur,Lalitpur,6
Dealer,1,1,2,BHK,7.113607333535121,0,1,"Bolar,Mangalore",0.9372163571056992,4.3154229291769965,3.943521672487517,Mangalore,Mangalore,4
Owner,0,0,2,BHK,6.893673082048937,1,1,"Ayanambakkam,Chennai",0.9442437189247519,4.383918007400288,4.007333185232471,Chennai,Chennai,4
Dealer,1,1,3,BHK,7.5870900853810355,0,1,"Sector 88 Faridabad,Faridabad",1.2082169106663325,4.3483548497032585,4.275276264727001,Faridabad,Faridabad,1
Dealer,1,1,1,BHK,6.041721941035871,0,1,"Sindhi Society Chembur,Lalitpur",1.0807820254352665,4.288914549787888,4.867534450455582,Lalitpur,Lalitpur,0
Dealer,1,1,1,BHK,6.00641281053194,0,0,"Kalyan (West),Maharashtra",1.0842663145824805,4.292164520919905,3.6863763238958187,Maharashtra,Maharashtra,0
Dealer,0,0,3,BHK,7.529708339763392,1,1,"Sector 88 Faridabad,Faridabad",1.2082169106663325,4.3483548497032585,4.092676505121403,Faridabad,Faridabad,1
Owner,0,0,2,BHK,6.8564773693183465,1,1,"Nandanwan Phases 2,Aurangabad",1.0953256457110643,4.322056860897659,4.174387269895637,Aurangabad,Aurangabad,0
Dealer,0,0,2,BHK,6.956516246534876,1,1,"Basaveshwara Nagar,Bangalore",0.941489693741063,4.3508433248841785,4.226833745268181,Bangalore,Bangalore,4
Dealer,0,0,3,BHK,7.3870952864179955,1,1,"Maniktala,Kolkata",1.1370294048479928,4.481566006552073,4.59511985013459,Kolkata,Kolkata,3
Dealer,0,0,3,BHK,7.047523221339296,1,1,"Wadala East,Lalitpur",1.0801837458969124,4.288624882662239,5.521460917862246,Lalitpur,Lalitpur,0
Owner,0,0,2,BHK,7.0030654587864625,1,1,"Jhotwara,Jaipur",1.192157774445671,4.327237671760757,3.3141860046725258,Jaipur,Jaipur,1
Dealer,1,1,2,BHK,6.809333063443925,0,0,"Balkum,Lalitpur",1.1651518201723257,4.362064842211598,4.248495242049359,Lalitpur,Lalitpur,6
Owner,0,0,3,BHK,7.28230328440958,1,1,"Poolakkaparambu,Ottapalam",0.8657401052903975,4.3357208817973705,3.912023005428147,Ottapalam,Town,2
Owner,0,0,3,BHK,7.372742938006492,1,1,"Sector-137 Noida,Noida",1.2089993056086703,4.349110390526718,4.248495242049359,Noida,Noida,1
Dealer,0,1,2,BHK,6.3524149397016965,1,1,"Sector 86 Faridabad,Faridabad",1.2079491031965068,4.348244748251822,3.095577608523707,Faridabad,Faridabad,1
Dealer,0,1,3,BHK,6.945902283223946,1,1,"Powai,Mumbai",1.0820542605544101,4.289225803818339,5.634789603169249,Mumbai,Mumbai,0
Owner,0,0,3,BHK,7.3383303161692695,1,1,"Yelahanka,Bangalore",0.9453336627561474,4.3515459063390445,4.30406509320417,Bangalore,Bangalore,4
Dealer,0,0,3,BHK,7.379060568200838,1,1,"Sector 77 Faridabad,Faridabad",1.2075477760335498,4.348634392933047,3.8958936234982624,Faridabad,Faridabad,1
Owner,0,0,2,BHK,7.090076835776093,1,1,"Madhuranagar,Vijayawada",1.0311789768370563,4.389705451948824,3.80666248977032,Vijayawada,Vijayawada,8
Owner,0,0,2,BHK,6.633411771029537,1,1,"Tilakwadi,Belgaum",1.0167587444885993,4.310799125385514,4.0943445622220995,Belgaum,Belgaum,0
Owner,1,0,2,BHK,6.606416880065538,0,1,"tallaiya,Bhopal",1.1462287904075013,4.349202132082888,3.4011973816621555,Bhopal,Bhopal,6
Owner,0,0,2,BHK,7.138885182319906,1,1,"Mulki,Mangalore",0.9446694845962187,4.3146093070798415,3.49650756146648,Mangalore,Mangalore,4
Owner,0,0,2,BHK,7.003203399272237,1,1,"Manewada,Nagpur",1.1148049044119621,4.370864127556833,3.3672958299864737,Nagpur,Nagpur,5
Dealer,0,1,3,BHK,7.737649902441037,1,1,"Kharadi,Pune",1.071630019785591,4.303305345209279,5.3471075307174685,Pune,Pune,0
Dealer,0,0,2,BHK,7.0444519464595645,1,1,"Sector-8 Ulwe,Lalitpur",1.0837518550772238,4.288014276085156,4.484131857611035,Lalitpur,Lalitpur,0
Dealer,0,0,2,BHK,6.633158446141013,1,1,"Joka,Kolkata",1.1350667183971332,4.480728182283995,3.4011973816621555,Kolkata,Kolkata,3
Owner,0,0,4,BHK,7.7232315272076715,1,1,"Wilson Garden,Bangalore",0.9404532992811827,4.351505569605929,4.941642422609304,Bangalore,Bangalore,4
Dealer,0,0,3,BHK,6.642510551671918,1,1,"DN Nagar,Maharashtra",1.109278084050479,4.383333305607463,5.48063892334199,Maharashtra,Maharashtra,5
Owner,0,0,4,BHK,7.824046010856294,1,1,"Ramprastha,Ghaziabad",1.2106708593472377,4.349202132082888,5.0751738152338275,Ghaziabad,Ghaziabad,1
Dealer,1,1,4,BHK,7.734662449661207,0,1,"Gomti Nagar Extension,Lucknow",1.1133440539599853,4.343805421853683,4.605170185988092,Lucknow,Lucknow,5
Owner,0,1,2,BHK,7.047592223761938,1,1,"Sector-74 Noida,Noida",1.2097438443779533,4.348854743455388,4.0943445622220995,Noida,Noida,1
Dealer,0,1,2,BHK,6.912675337619243,1,1,"New Panvel,Mumbai",1.0793118657340575,4.292488586519191,4.400603020246816,Mumbai,Mumbai,0
Owner,0,0,2,BHK,6.684611727667928,1,1,"Prantik,Kolkata",1.1367456111161014,4.481529377028798,3.5263605246161616,Kolkata,Kolkata,3
Dealer,1,0,3,BHK,6.9014856659685435,0,1,"Subhas Pally,Siliguri",1.1893344255644087,4.4823215065957696,3.4594662897861315,Siliguri,Siliguri,3
Dealer,0,0,2,BHK,7.168687236649336,1,1,"Jatkhedi,Bhopal",1.145132437532149,4.349992592426787,3.4011973816621555,Bhopal,Bhopal,6
Dealer,0,1,2,BHK,6.904547577805166,1,1,"Raj Nagar Extension,Ghaziabad",1.1915440999121711,4.327780656455312,3.2148678034706624,Ghaziabad,Ghaziabad,1
Owner,0,0,2,BHK,6.892661433057446,1,1,"CV Raman Nagar,Bangalore",0.9415053431729238,4.352390413185545,3.8712010109078916,Bangalore,Bangalore,4
Dealer,0,0,3,BHK,7.019967269589065,1,1,"Medavakkam,Chennai",0.9394432947869096,4.3844346081772425,3.9834130015148186,Chennai,Chennai,4
Dealer,0,1,2,BHK,6.791031004702568,1,1,"Sector-137 Noida,Noida",1.2089993056086703,4.349110390526718,3.737669618283368,Noida,Noida,1
Owner,0,0,3,BHK,7.91506540931946,1,1,"Basapura,Bangalore",0.9378125480063222,4.352242521426719,5.010635294096256,Bangalore,Bangalore,4
Dealer,1,1,4,BHK,7.453266460690562,0,0,"Deonar,Maharashtra",1.0808017983089184,4.289352033678473,6.0867747269123065,Maharashtra,Maharashtra,0
Dealer,1,1,3,BHK,7.819236168085897,0,1,"Sector-82 Mohali,Mohali",1.2304493862200236,4.340324396081628,4.941642422609304,Mohali,Mohali,1
Dealer,0,0,3,BHK,7.09014580339777,1,1,"Satgachi,Kolkata",1.1456424040593272,4.4819225452877065,4.060443010546419,Kolkata,Kolkata,3
Dealer,0,0,2,BHK,7.367887788637409,1,1,"Tilak Nagar,Kanpur",1.1865015294379,4.375844087052375,4.605170185988092,Kanpur,Kanpur,6
Dealer,0,1,2,BHK,7.0845951990200975,1,1,"Talegaon,Pune",1.0697292708546084,4.312775171719324,4.100989104940768,Pune,Pune,0
Owner,0,0,2,BHK,7.304756308962839,1,1,"Mansarovar Extension,Jaipur",1.1911109394088912,4.327614006535299,3.4011973816621555,Jaipur,Jaipur,1
Owner,1,1,2,BHK,6.897606947923223,0,1,"Sector-143 Noida,Noida",1.2089683717008823,4.349328414738552,3.912023005428147,Noida,Noida,1
Dealer,0,0,2,BHK,7.051873123235664,1,1,"Bhandup (West),Maharashtra",1.0825476991465603,4.289535850386158,4.941642422609304,Maharashtra,Maharashtra,0
Owner,0,0,2,BHK,6.856349490898987,1,1,"Eswaran Koil Street,Pondicherry",0.907877937793665,4.3798993736577065,4.382026634673881,Pondicherry,Pondicherry,4
Owner,0,0,2,BHK,6.774223886357614,1,1,"Sector-78 Noida,Noida",1.2095668222584959,4.3488085735032715,3.8918202981106265,Noida,Noida,1
Dealer,0,0,2,BHK,6.749182902412988,1,1,"Ananth Nagar,Bangalore",0.9410348784396798,4.351541138183826,3.198673117550681,Bangalore,Bangalore,4
Owner,0,0,1,BHK,6.1802066716228605,1,1,"Roha,Raigad",1.0699718405543723,4.292029440930212,2.8903717578961645,Raigad,Raigad,0
Dealer,0,0,2,BHK,6.684611727667928,1,1,"Thane West,Maharashtra",1.083115521451465,4.289956986171905,4.553876891600541,Maharashtra,Maharashtra,0
Owner,0,0,2,BHK,6.687160427346804,1,1,"Ankur Vihar,Ghaziabad",1.2106708593472377,4.349202132082888,3.0910424533583165,Ghaziabad,Ghaziabad,1
Dealer,0,1,2,BHK,6.4135672963804184,1,1,"Koyambedu,Chennai",0.9440262321714457,4.384503851337497,3.8712010109078916,Chennai,Chennai,4
Owner,0,0,3,BHK,7.426613074515793,1,1,"Naveen Nagar,Kanpur",1.2126923608039146,4.366358464966848,4.31748811353631,Kanpur,Kanpur,1
Owner,0,0,2,BHK,7.047635508274166,1,1,"Nirman Nagar,Jaipur",1.0968660003199822,4.373205795205093,4.532599493153255,Jaipur,Jaipur,5
Owner,0,0,3,BHK,7.346084076217368,1,1,"Sector-75 Noida,Noida",1.2097276033690578,4.348755952923431,4.477336814478207,Noida,Noida,1
Owner,1,0,3,BHK,7.377865580663166,0,1,"Tripunithura,Kochi",0.8319598232580439,4.335502168433846,4.31748811353631,Kochi,Kochi,2
Owner,0,0,1,BHK,6.397023999265606,1,1,"Pen,Raigad",1.0754097640872489,4.291554731509806,3.054001181677967,Raigad,Raigad,0
Dealer,0,1,2,BHK,7.264870557859209,1,1,"Sector-66A Mohali,Mohali",1.23051586396504,4.340502336304335,4.1728476237100445,Mohali,Mohali,1
Owner,0,0,2,BHK,7.016733441258383,1,1,"Dodda Banaswadi,Bangalore",0.9421806804331623,4.352228226854213,4.382026634673881,Bangalore,Bangalore,4
Dealer,0,0,4,BHK,7.919694085567702,1,1,"Sikandra,Agra",1.1950749899169744,4.356078294612682,4.30406509320417,Agra,Agra,1
Owner,0,0,3,BHK,7.5017429484089275,1,1,"Kanke,Ranchi",1.1476675197364516,4.446581405679423,4.59511985013459,Ranchi,Ranchi,3
Owner,0,0,2,BHK,6.951806689161778,1,1,"Narendrapur,Kolkata",1.1348825292394589,4.481824796585265,3.737669618283368,Kolkata,Kolkata,3
Dealer,0,0,3,BHK,8.141480041456921,1,1,"Sector-65 Gurgaon,Gurgaon",1.2079149135991962,4.344714774500976,5.828945617610208,Gurgaon,Gurgaon,1
Owner,0,0,3,BHK,7.168749054758872,1,1,"Electronics City Phase 1,Bangalore",0.9371280199277124,4.352333126234865,4.248495242049359,Bangalore,Bangalore,4
Owner,1,1,2,BHK,7.011362945597286,0,1,"Katapady,Udupi",0.950161149693564,4.3141134658125,3.6375861597263857,Udupi,Udupi,4
Dealer,1,1,4,BHK,7.173217955333223,0,0,"Kanchpada,Maharashtra",1.0792022932031013,4.287990642747287,6.1527326947041034,Maharashtra,Maharashtra,0
Dealer,0,1,2,BHK,6.948124477565782,1,1,"Sector-70 Noida,Noida",1.2099383862705912,4.348746829329058,3.828641396489095,Noida,Noida,1
Dealer,0,0,3,BHK,7.666572644481557,1,1,"Sector 82 Faridabad,Faridabad",1.2078227025989898,4.34843400510444,4.4272389774954295,Faridabad,Faridabad,1
Owner,0,1,3,BHK,7.5230384835829724,1,1,"Noida Extension,Noida",1.2097577360008982,4.3493894514508735,4.4067192472642525,Noida,Noida,1
Dealer,0,0,3,BHK,7.41762897480846,1,1,"Kudasan,Gandhinagar",1.1450845475546072,4.285437124375166,4.248495242049359,Gandhinagar,Gandhinagar,7
Owner,0,0,2,BHK,6.912767821175682,1,1,"Chandapura,Bangalore",0.9358785134066961,4.353007369356111,3.8712010109078916,Bangalore,Bangalore,4
Dealer,0,1,2,BHK,7.165505960299753,1,1,"4 Bunglows,Mumbai",1.0822017589990423,4.288064905301483,5.799092654460527,Mumbai,Mumbai,0
Dealer,0,1,3,BHK,7.337461851424535,1,1,"Sector-3 Vaishali,Ghaziabad",1.2104173871590926,4.3482694691257455,4.605170185988092,Ghaziabad,Ghaziabad,1
Owner,0,0,2,BHK,7.023926710924824,1,1,"Kaggadasapura,Bangalore",0.9413863735761879,4.352506419187859,4.127134385045092,Bangalore,Bangalore,4
Dealer,0,0,2,BHK,6.6848541812736775,1,1,"Jhotwara,Jaipur",1.192157774445671,4.327237671760757,2.8033603809065353,Jaipur,Jaipur,1
Dealer,0,1,4,BHK,7.884503979728072,1,1,"Manpada,Maharashtra",1.0841690608903405,4.28994865318418,5.703782474656202,Maharashtra,Maharashtra,0
Dealer,0,0,3,BHK,7.322362045181185,1,1,"JP Nagar,Bangalore",0.9390862676513912,4.3513148566361215,4.605170185988092,Bangalore,Bangalore,4
Owner,0,0,3,BHK,7.154615356913662,1,1,"Ponekkara,Kochi",0.8309976925137725,4.334296366740936,3.8712010109078916,Kochi,Kochi,2
Owner,0,0,1,BHK,6.016322690631499,1,1,"Sector-18 Vrindavan Colony,Lucknow",1.20965169587626,4.348016878868482,2.6741486494265287,Lucknow,Lucknow,1
Dealer,0,0,4,BHK,8.140127557769372,1,1,"Vasna Road,Vadodara",1.133054768943341,4.285987759435518,4.605170185988092,Vadodara,Vadodara,7
Dealer,0,0,2,BHK,6.791272233235094,1,1,"Sector-25 Khandeshhwar,Mumbai",1.2097982580026474,4.348210445734009,4.174387269895637,Mumbai,Mumbai,1
Owner,0,0,2,BHK,6.8852113145905625,1,1,"Bicholi Mardana,Indore",1.1310887270244971,4.328352877653061,3.218875824868201,Indore,Indore,7
Dealer,0,0,2,BHK,7.002933888313265,1,1,"Syndicate Bank Colony,Bangalore",0.9412519012561066,4.351280324123362,3.6375861597263857,Bangalore,Bangalore,4
Owner,1,0,2,BHK,6.956775199612673,0,1,"Paota,Jodhpur",1.1846074440823524,4.2909994323132175,3.610917912644224,Jodhpur,Jodhpur,7
Dealer,0,1,3,BHK,7.24440024211384,1,1,"Raj Nagar Extension,Ghaziabad",1.1915440999121711,4.327780656455312,4.058717384578951,Ghaziabad,Ghaziabad,1
Dealer,0,0,3,BHK,7.461720395330079,1,1,"Sector 19 Kharghar,Mumbai",1.0807922861461032,4.291530538551587,5.1929568508902095,Mumbai,Mumbai,0
Dealer,0,1,2,BHK,7.0467619509950365,1,1,"Marol,Lalitpur",1.1651518201723257,4.362064842211598,5.1929568508902095,Lalitpur,Lalitpur,6
Dealer,0,0,2,BHK,6.477272407871685,1,1,"Vadavalli,Coimbatore",0.8756010658056955,4.3425524684040715,2.9957322735539913,Coimbatore,Coimbatore,2
Owner,0,0,2,BHK,7.211566733263801,1,1,"Gopalpura Bypass,Jaipur",1.1912858556835209,4.32783250535112,4.442651256490317,Jaipur,Jaipur,1
Dealer,0,0,3,BHK,7.495581944750878,1,1,"Rasanna Colony,Bangalore",0.9410348784396798,4.351541138183826,5.010635294096256,Bangalore,Bangalore,4
Dealer,0,1,2,BHK,6.810837381802548,1,1,"Taloja,Maharashtra",1.1219703895614452,4.306930982617215,3.5234150143864045,Maharashtra,Maharashtra,7
Dealer,0,0,3,BHK,7.400190442726216,1,1,"Budigere,Bangalore",0.9461529154514485,4.353495412790752,4.477336814478207,Bangalore,Bangalore,4
Owner,0,0,2,BHK,6.80267480255411,1,1,"Tarsali,Vadodara",1.1323217435296844,4.293407597909699,3.218875824868201,Vadodara,Vadodara,7
Owner,0,0,2,BHK,7.1839041158703445,1,1,"Doddakannelli,Bangalore",0.939091417975565,4.352781419383811,4.605170185988092,Bangalore,Bangalore,4
Dealer,0,1,3,BHK,7.5753725526561535,1,1,"Sector-88 Mohali,Mohali",1.2307388923159588,4.339793853795706,4.59511985013459,Mohali,Mohali,1
Dealer,0,0,3,BHK,7.404501381831492,1,1,"Kakkanad,Kochi",0.8309976925137725,4.334296366740936,4.204692619390967,Kochi,Kochi,2
Dealer,0,0,3,BHK,7.117242504101862,1,1,"Kanjur Marg (East),Maharashtra",1.0792022932031013,4.287990642747287,5.3471075307174685,Maharashtra,Maharashtra,0
Dealer,0,0,1,BHK,6.4847576921066175,1,1,"Sector 20 Ulwe,Maharashtra",1.0792827477871625,4.2907275421923945,3.8918202981106265,Maharashtra,Maharashtra,0
Owner,0,0,2,BHK,7.073416394837651,1,1,"Ferrar Nagar,Bangalore",0.9410348784396798,4.351541138183826,4.31748811353631,Bangalore,Bangalore,4
Owner,0,0,3,BHK,7.090149565631212,1,1,"Sahibabad,Ghaziabad",1.2107169057016682,4.348577135979268,4.007333185232471,Ghaziabad,Ghaziabad,1
Owner,1,1,4,BHK,7.901035052341148,0,1,"Sector-98 Noida,Noida",1.2093052265029929,4.348465598292148,5.521460917862246,Noida,Noida,1
Owner,0,0,2,BHK,6.745353022913048,1,1,"Ajmer Road,Jaipur",1.1918584576959574,4.3284676439548,3.4011973816621555,Jaipur,Jaipur,1
Dealer,1,1,4,BHK,7.8771303820876675,0,1,"Konanakunte,Bangalore",0.9384836953971873,4.351100823501241,5.521460917862246,Bangalore,Bangalore,4
Owner,0,0,2,BHK,6.802412945270129,1,1,"Roopena Agrahara,Bangalore",0.939788475925007,4.351383402525714,4.007333185232471,Bangalore,Bangalore,4
Dealer,1,0,4,BHK,7.8131678928897355,0,1,"NIBM,Pune",1.0703723458789294,4.302577622603228,5.0751738152338275,Pune,Pune,0
Dealer,0,0,2,BHK,6.806901946806391,1,1,"Suraksha Nagar,Bangalore",1.098825884762847,4.370812237725695,3.9259259105971376,Bangalore,Bangalore,5
Dealer,1,1,3,BHK,7.359026372229719,0,1,"Tonk Road,Jaipur",1.1831024650618325,4.327878347617864,4.700480365792417,Jaipur,Jaipur,1
Dealer,0,0,2,BHK,6.862144767689418,1,1,"Hiranandani Estate,Lalitpur",1.0844375861778444,4.290206347479055,5.010635294096256,Lalitpur,Lalitpur,0
Dealer,0,0,2,BHK,6.907755278982138,1,1,"Sector-53 Noida,Noida",1.209909664489136,4.348505424452322,4.0943445622220995,Noida,Noida,1
Dealer,0,0,4,BHK,7.821942960595512,1,1,"Kadugodi,Bangalore",0.9417972957953041,4.353714566311578,4.553876891600541,Bangalore,Bangalore,4
Owner,0,0,2,BHK,7.047630561021068,1,1,"Villivakkam Near ICF Bus Stand,Chennai",0.9452213467547391,4.384641961722701,4.31748811353631,Chennai,Chennai,4
Dealer,0,0,2,BHK,7.098488585931004,1,1,"Kamothe,Mumbai",1.0802184202680105,4.291779938770532,4.442651256490317,Mumbai,Mumbai,0
Dealer,0,0,2,BHK,7.2189107076185595,1,1,"Sector-11 Ghansoli,Mumbai",1.0821694279768086,4.290453413732966,5.298317366548036,Mumbai,Mumbai,0
Dealer,1,1,2,BHK,6.213881090015612,0,0,"Hiranandani Estate,Maharashtra",1.0844375861778444,4.290206347479055,4.700480365792417,Maharashtra,Maharashtra,0
Dealer,0,0,2,BHK,6.956682952744311,1,1,"Manjalpur,Vadodara",1.1324644478445438,4.293042772705091,3.688879454113936,Vadodara,Vadodara,7
Owner,0,0,1,BHK,6.1654608551976215,1,1,"Madanandapuram,Chennai",0.9425665340249939,4.383934488562697,3.688879454113936,Chennai,Chennai,4
Dealer,0,0,2,BHK,6.893101270551701,1,1,"Hajipur,Noida",1.2093374848224767,4.348554064248448,3.0445224377234235,Noida,Noida,1
Dealer,0,0,2,BHK,6.9520555376420505,1,1,"Sector 77 Faridabad,Faridabad",1.2075477760335498,4.348634392933047,3.1780538303479458,Faridabad,Faridabad,1
Dealer,1,1,2,BHK,7.171576158993005,0,1,"Sarjapur Road,Bangalore",0.9377084145833785,4.353961466405538,4.499809670330264,Bangalore,Bangalore,4
Owner,0,0,2,BHK,7.600902459542082,1,1,"Alwar Bypass Road,Bhiwadi",1.2058760763560805,4.3419933915074775,3.6375861597263857,Bhiwadi,Bhiwadi,1
Dealer,0,0,2,BHK,7.0833878476252945,1,1,"Nayapalli,Bhubaneswar",1.1019265039339463,4.452146107973292,4.087655574071303,Bhubaneswar,Bhubaneswar,3
