Absenteeism Time in Hours,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Reason_1,Reason_2,Reason_3,Reason_4,Day,Month
2,118,10,37,308.593,28,1,0,0,0,0,0,1,11,1
2,225,26,28,308.593,24,1,1,2,0,0,0,1,12,1
2,118,10,37,308.593,28,1,0,0,0,0,0,1,12,1
2,118,10,37,308.593,28,1,0,0,0,0,0,1,13,1
2,118,10,37,308.593,28,1,0,0,0,0,0,1,14,1
2,118,10,37,308.593,28,1,0,0,0,0,0,1,15,1
2,118,10,37,308.593,28,1,0,0,0,0,0,1,11,1
2,118,10,37,308.593,28,1,0,0,0,0,0,1,12,1
8,179,26,30,308.593,19,3,0,0,0,0,1,0,12,1
8,289,36,33,308.593,30,1,2,1,0,0,1,0,12,1
2,118,10,37,308.593,28,1,0,0,0,0,0,1,13,1
2,184,42,27,308.593,21,1,0,0,0,0,0,1,21,1
2,118,10,37,308.593,28,1,0,0,0,0,0,1,28,1
0,118,10,37,308.593,28,1,0,0,0,0,0,1,25,1
1,225,26,28,308.593,24,1,1,2,0,0,0,1,26,1
3,289,36,33,308.593,30,1,2,1,0,0,0,1,28,1
1,184,42,27,302.585,21,1,0,0,0,0,0,1,5,2
8,246,25,41,302.585,23,1,0,0,1,0,0,0,3,2
8,179,51,38,302.585,31,1,0,0,1,0,0,0,10,2
2,155,12,34,302.585,25,1,2,0,0,0,0,1,11,2
8,189,29,33,302.585,25,1,2,2,0,0,0,1,11,2
2,260,50,36,302.585,23,1,4,0,0,0,0,1,12,2
8,289,36,33,302.585,30,1,2,1,0,0,0,1,12,2
8,388,15,50,302.585,24,1,0,0,1,0,0,0,8,2
8,388,15,50,302.585,24,1,0,0,1,0,0,0,9,2
2,225,26,28,302.585,24,1,1,2,0,0,0,1,15,2
2,225,26,28,302.585,24,1,1,2,0,0,0,1,9,2
1,179,26,30,302.585,19,3,0,0,0,0,0,1,16,2
8,184,42,27,302.585,21,1,0,0,0,0,0,1,23,2
3,225,26,28,302.585,24,1,1,2,0,0,0,1,25,2
8,330,16,28,302.585,25,2,0,0,0,0,1,0,15,2
1,330,16,28,302.585,25,2,0,0,0,0,0,1,16,2
1,225,26,28,302.585,24,1,1,2,0,0,0,1,17,2
8,189,29,33,302.585,25,1,2,2,0,0,1,0,25,2
2,291,50,32,343.25300000000004,23,1,0,0,0,0,0,1,1,3
8,260,50,36,343.25300000000004,23,1,4,0,0,0,1,0,1,3
3,157,27,29,343.25300000000004,22,1,0,0,0,0,1,0,8,3
8,179,22,40,343.25300000000004,22,2,2,0,0,1,0,0,15,3
8,291,31,40,343.25300000000004,25,1,1,1,0,0,0,1,16,3
8,260,50,36,343.25300000000004,23,1,4,0,1,0,0,0,2,3
8,179,26,30,343.25300000000004,19,3,0,0,1,0,0,0,3,3
3,248,25,47,343.25300000000004,32,1,2,1,1,0,0,0,4,3
40,260,50,36,343.25300000000004,23,1,4,0,1,0,0,0,4,3
40,179,22,40,343.25300000000004,22,2,2,0,1,0,0,0,7,3
16,155,12,34,343.25300000000004,25,1,2,0,1,0,0,0,14,3
16,260,50,36,343.25300000000004,23,1,4,0,0,0,0,1,21,3
8,155,12,34,343.25300000000004,25,1,2,0,1,0,0,0,22,3
8,289,36,33,343.25300000000004,30,1,2,1,1,0,0,0,24,3
8,179,22,40,343.25300000000004,22,2,2,0,1,0,0,0,24,3
4,260,50,36,343.25300000000004,23,1,4,0,0,0,0,1,25,3
1,225,26,28,343.25300000000004,24,1,1,2,0,0,0,1,25,3
8,279,5,39,343.25300000000004,24,1,2,0,1,0,0,0,28,3
24,179,51,38,343.25300000000004,31,1,0,0,1,0,0,0,29,3
2,225,26,28,343.25300000000004,24,1,1,2,0,0,0,1,30,3
8,225,26,28,343.25300000000004,24,1,1,2,1,0,0,0,28,3
1,179,26,30,343.25300000000004,19,3,0,0,1,0,0,0,28,3
8,225,26,28,343.25300000000004,24,1,1,2,1,0,0,0,29,3
16,225,26,28,343.25300000000004,24,1,1,2,1,0,0,0,30,3
3,179,51,38,343.25300000000004,31,1,0,0,1,0,0,0,30,3
16,279,5,39,343.25300000000004,24,1,2,0,1,0,0,0,17,3
2,225,26,28,343.25300000000004,24,1,1,2,0,0,0,1,18,3
3,248,25,47,343.25300000000004,32,1,2,1,1,0,0,0,25,3
1,225,26,28,343.25300000000004,24,1,1,2,0,0,0,1,28,3
1,291,31,40,326.452,25,1,1,1,0,0,0,1,6,4
1,225,26,28,326.452,24,1,1,2,0,0,0,1,13,4
1,155,12,34,326.452,25,1,2,0,0,0,0,1,12,4
24,246,25,41,326.452,23,1,0,0,1,0,0,0,13,4
1,155,12,34,326.452,25,1,2,0,0,0,0,1,14,4
2,225,26,28,326.452,24,1,1,2,0,0,0,1,15,4
4,260,50,36,326.452,23,1,4,0,0,0,0,1,15,4
24,179,51,38,326.452,31,1,0,0,1,0,0,0,6,4
1,118,13,50,326.452,31,1,1,0,0,0,0,1,7,4
3,291,31,40,326.452,25,1,1,1,0,0,0,1,8,4
8,246,25,41,326.452,23,1,0,0,1,0,0,0,8,4
1,291,31,40,326.452,25,1,1,1,0,0,0,1,22,4
8,248,25,47,326.452,32,1,2,1,0,0,0,1,29,4
56,260,50,36,326.452,23,1,4,0,0,0,1,0,29,4
8,289,36,33,326.452,30,1,2,1,0,0,1,0,26,4
24,155,12,34,326.452,25,1,2,0,1,0,0,0,27,4
8,378,49,36,326.452,21,1,2,4,0,0,1,0,27,4
16,289,36,33,326.452,30,1,2,1,1,0,0,0,28,4
3,235,11,37,326.452,29,3,1,1,1,0,0,0,8,4
0,235,29,48,326.452,33,1,1,5,0,0,0,0,4,4
8,289,36,33,378.884,30,1,2,1,1,0,0,0,4,5
2,155,12,34,378.884,25,1,2,0,0,0,0,1,5,5
1,155,12,34,378.884,25,1,2,0,0,0,0,1,2,5
8,179,51,38,378.884,31,1,0,0,0,0,1,0,3,5
8,225,26,28,378.884,24,1,1,2,0,0,1,0,3,5
4,184,42,27,378.884,21,1,0,0,1,0,0,0,11,5
2,155,12,34,378.884,25,1,2,0,0,0,0,1,9,5
1,179,51,38,378.884,31,1,0,0,1,0,0,0,10,5
24,289,36,33,378.884,30,1,2,1,1,0,0,0,4,5
0,279,5,39,378.884,24,1,2,0,0,0,0,0,11,5
0,330,16,28,378.884,25,2,0,0,0,0,0,0,18,5
0,378,49,36,378.884,21,1,2,4,0,0,0,0,25,5
0,388,15,50,378.884,24,1,0,0,0,0,0,0,25,5
1,179,51,38,378.884,31,1,0,0,1,0,0,0,24,5
24,118,13,50,378.884,31,1,1,0,1,0,0,0,11,5
8,361,52,28,378.884,27,1,1,4,0,0,0,1,27,5
8,246,25,41,377.55,23,1,0,0,0,0,1,0,6,6
8,361,52,28,377.55,27,1,1,4,0,0,0,1,13,6
24,246,25,41,377.55,23,1,0,0,1,0,0,0,14,6
4,291,31,40,377.55,25,1,1,1,0,0,0,1,16,6
8,246,25,41,377.55,23,1,0,0,1,0,0,0,17,6
8,179,51,38,377.55,31,1,0,0,1,0,0,0,13,6
4,155,12,34,377.55,25,1,2,0,0,0,0,1,20,6
8,246,25,41,377.55,23,1,0,0,1,0,0,0,27,6
8,118,13,50,377.55,31,1,1,0,1,0,0,0,29,6
16,235,11,37,377.55,29,3,1,1,1,0,0,0,3,6
1,118,13,50,377.55,31,1,1,0,0,0,0,1,7,6
80,118,13,50,377.55,31,1,1,0,1,0,0,0,8,6
8,378,49,36,377.55,21,1,2,4,0,0,0,1,9,6
2,179,51,38,377.55,31,1,0,0,1,0,0,0,10,6
2,289,48,49,377.55,36,1,0,2,0,0,0,1,20,6
2,225,26,28,377.55,24,1,1,2,0,0,0,1,30,6
16,155,12,34,275.312,25,1,2,0,0,0,1,0,5,7
8,118,13,50,275.312,31,1,1,0,1,0,0,0,6,7
8,118,10,37,275.312,28,1,0,0,1,0,0,0,8,7
4,118,10,37,275.312,28,1,0,0,0,0,0,1,8,7
8,330,16,28,275.312,25,2,0,0,0,0,0,1,12,7
8,179,26,30,275.312,19,3,0,0,0,0,1,0,14,7
2,155,12,34,275.312,25,1,2,0,0,0,0,1,15,7
8,330,16,28,275.312,25,2,0,0,1,0,0,0,18,7
8,330,16,28,275.312,25,2,0,0,1,0,0,0,19,7
3,157,27,29,275.312,22,1,0,0,0,0,0,1,18,7
8,361,52,28,275.312,27,1,1,4,0,0,0,1,19,7
8,289,36,33,275.312,30,1,2,1,0,0,0,1,20,7
8,179,51,38,275.312,31,1,0,0,0,0,0,1,21,7
32,289,36,33,275.312,30,1,2,1,0,0,1,0,11,7
8,289,36,33,275.312,30,1,2,1,0,0,1,0,14,7
0,260,50,36,275.312,23,1,4,0,0,0,0,0,21,7
8,289,36,33,265.615,30,1,2,1,0,0,1,0,4,8
3,157,27,29,265.615,22,1,0,0,0,0,1,0,11,8
1,289,36,33,265.615,30,1,2,1,0,0,0,1,7,8
8,228,14,58,265.615,22,1,2,1,0,0,1,0,8,8
1,300,26,43,265.615,25,1,2,1,1,0,0,0,10,8
2,300,26,43,265.615,25,1,2,1,1,0,0,0,10,8
4,260,50,36,265.615,23,1,4,0,0,0,0,1,11,8
4,289,36,33,265.615,30,1,2,1,0,0,0,1,8,8
1,248,25,47,265.615,32,1,2,1,0,0,0,1,9,8
8,268,11,33,265.615,25,2,0,0,1,0,0,0,10,8
1,179,26,30,265.615,19,3,0,0,0,0,0,1,10,8
3,118,13,50,265.615,31,1,1,0,1,0,0,0,10,8
2,248,25,47,265.615,32,1,2,1,0,0,0,1,14,8
1,235,11,37,265.615,29,3,1,1,0,0,0,1,15,8
1,118,13,50,265.615,31,1,1,0,0,0,0,1,17,8
8,235,11,37,265.615,29,3,1,1,0,0,1,0,24,8
8,361,52,28,265.615,27,1,1,4,1,0,0,0,8,8
8,184,42,27,265.615,21,1,0,0,1,0,0,0,30,8
8,179,51,38,294.217,31,1,0,0,1,0,0,0,5,9
3,179,51,38,294.217,31,1,0,0,0,0,0,1,9,9
24,289,36,33,294.217,30,1,2,1,0,0,1,0,7,9
0,235,20,43,294.217,38,1,1,0,0,0,0,0,8,9
16,246,25,41,294.217,23,1,0,0,1,0,0,0,12,9
3,291,31,40,294.217,25,1,1,1,0,0,0,1,13,9
0,231,35,39,294.217,35,1,2,2,0,0,0,0,13,9
0,291,50,32,294.217,23,1,0,0,0,0,0,0,13,9
8,179,51,38,294.217,31,1,0,0,1,0,0,0,14,9
32,246,25,41,294.217,23,1,0,0,1,0,0,0,14,9
1,179,51,38,294.217,31,1,0,0,0,0,0,1,15,9
4,291,31,40,294.217,25,1,1,1,0,0,0,1,16,9
4,260,50,36,294.217,23,1,4,0,0,0,0,1,16,9
8,235,20,43,294.217,38,1,1,0,0,0,0,1,14,9
1,118,13,50,294.217,31,1,1,0,0,0,0,1,15,9
0,235,20,43,294.217,38,1,1,0,0,0,0,0,15,9
3,291,31,40,294.217,25,1,1,1,0,0,0,1,16,9
40,291,31,40,294.217,25,1,1,1,1,0,0,0,26,9
8,179,51,38,294.217,31,1,0,0,1,0,0,0,26,9
8,289,36,33,265.017,30,1,2,1,0,0,0,1,5,10
4,235,11,37,265.017,29,3,1,1,0,0,0,1,5,10
8,289,36,33,265.017,30,1,2,1,0,0,0,1,5,10
8,289,36,33,265.017,30,1,2,1,0,0,0,1,6,10
0,118,13,50,265.017,31,1,1,0,0,0,0,0,6,10
0,248,25,47,265.017,32,1,2,1,0,0,0,0,6,10
8,179,26,30,265.017,19,3,0,0,1,0,0,0,12,10
3,118,10,37,265.017,28,1,0,0,1,0,0,0,12,10
8,369,17,31,265.017,25,1,3,0,0,0,0,1,12,10
1,179,51,38,265.017,31,1,0,0,0,0,0,1,14,10
64,179,26,30,265.017,19,3,0,0,1,0,0,0,14,10
0,235,20,43,265.017,38,1,1,0,0,0,0,0,14,10
16,289,36,33,265.017,30,1,2,1,0,0,1,0,15,10
3,260,50,36,265.017,23,1,4,0,0,0,0,1,16,10
0,235,20,43,265.017,38,1,1,0,0,0,0,0,16,10
2,235,20,43,265.017,38,1,1,0,0,0,0,1,19,10
2,235,20,43,265.017,38,1,1,0,0,0,0,1,19,10
1,118,13,50,265.017,31,1,1,0,0,0,0,1,20,10
4,291,31,40,265.017,25,1,1,1,0,0,0,1,20,10
16,179,26,30,265.017,19,3,0,0,0,0,0,1,22,10
1,118,13,50,265.017,31,1,1,0,0,0,0,1,22,10
8,361,52,28,265.017,27,1,1,4,1,0,0,0,26,10
0,260,50,36,265.017,23,1,4,0,0,0,0,0,27,10
0,291,31,40,265.017,25,1,1,1,0,0,0,0,27,10
0,157,27,29,265.017,22,1,0,0,0,0,0,0,27,10
5,179,26,30,265.017,19,3,0,0,1,0,0,0,28,10
5,179,26,30,265.017,19,3,0,0,1,0,0,0,28,10
1,118,13,50,265.017,31,1,1,0,0,0,0,1,29,10
8,118,10,37,284.031,28,1,0,0,1,0,0,0,7,11
2,248,25,47,284.031,32,1,2,1,0,0,0,1,7,11
8,179,51,38,284.031,31,1,0,0,1,0,0,0,8,11
3,260,50,36,284.031,23,1,4,0,0,0,0,1,11,11
1,291,31,40,284.031,25,1,1,1,0,0,0,1,14,11
8,378,49,36,284.031,21,1,2,4,1,0,0,0,14,11
120,155,12,34,284.031,25,1,2,0,1,0,0,0,14,11
8,235,20,43,284.031,38,1,1,0,0,0,0,1,14,11
0,330,16,28,284.031,25,2,0,0,0,0,0,0,15,11
1,235,11,37,284.031,29,3,1,1,0,0,1,0,16,11
3,118,10,37,284.031,28,1,0,0,1,0,0,0,16,11
2,235,11,37,284.031,29,3,1,1,0,0,0,1,17,11
3,179,51,38,284.031,31,1,0,0,0,0,0,1,17,11
8,246,25,41,284.031,23,1,0,0,1,0,0,0,18,11
4,291,31,40,284.031,25,1,1,1,1,0,0,0,18,11
8,246,25,41,284.031,23,1,0,0,1,0,0,0,21,11
1,179,51,38,284.031,31,1,0,0,0,0,0,1,22,11
8,260,50,36,284.031,23,1,4,0,1,0,0,0,23,11
8,260,50,36,284.031,23,1,4,0,0,1,0,0,25,11
0,378,49,36,284.031,21,1,2,4,0,0,0,0,25,11
0,279,5,39,284.031,24,1,2,0,0,0,0,0,29,11
1,179,51,38,284.031,31,1,0,0,0,0,0,1,24,11
3,225,26,28,236.62900000000002,24,1,1,2,1,0,0,0,5,12
2,179,51,38,236.62900000000002,31,1,0,0,0,0,0,1,5,12
1,179,51,38,236.62900000000002,31,1,0,0,0,0,0,1,5,12
3,235,11,37,236.62900000000002,29,3,1,1,0,0,0,1,5,12
1,118,13,50,236.62900000000002,31,1,1,0,0,0,0,1,6,12
4,260,50,36,236.62900000000002,23,1,4,0,0,0,0,1,9,12
8,246,25,41,236.62900000000002,23,1,0,0,1,0,0,0,15,12
1,179,51,38,236.62900000000002,31,1,0,0,0,0,0,1,15,12
1,179,51,38,236.62900000000002,31,1,0,0,0,0,0,1,16,12
1,179,26,30,236.62900000000002,19,3,0,0,0,0,0,1,20,12
8,118,10,37,236.62900000000002,28,1,0,0,0,0,0,1,20,12
2,235,11,37,236.62900000000002,29,3,1,1,0,0,0,1,22,12
1,179,51,38,236.62900000000002,31,1,0,0,0,0,0,1,23,12
8,235,20,43,236.62900000000002,38,1,1,0,1,0,0,0,20,12
4,235,11,37,236.62900000000002,29,3,1,1,1,0,0,0,20,12
8,260,50,36,236.62900000000002,23,1,4,0,0,0,0,1,21,12
2,157,27,29,236.62900000000002,22,1,0,0,0,0,0,1,19,12
3,179,51,38,236.62900000000002,31,1,0,0,0,0,0,1,19,12
8,289,36,33,236.62900000000002,30,1,2,1,0,0,1,0,19,12
5,225,26,28,330.061,24,1,1,2,0,0,0,1,4,1
32,118,10,37,330.061,28,1,0,0,0,0,1,0,9,1
2,155,12,34,330.061,25,1,2,0,0,0,0,1,9,1
1,235,11,37,330.061,29,3,1,1,1,0,0,0,3,1
4,155,12,34,330.061,25,1,2,0,0,0,0,1,3,1
8,289,36,33,330.061,30,1,2,1,0,0,0,1,9,1
8,291,31,40,330.061,25,1,1,1,1,0,0,0,11,1
8,235,20,43,330.061,38,1,1,0,0,0,0,1,16,1
4,118,13,50,330.061,31,1,1,0,0,0,0,1,16,1
1,179,51,38,330.061,31,1,0,0,0,0,0,1,25,1
1,179,51,38,330.061,31,1,0,0,0,0,0,1,27,1
2,118,10,37,251.81799999999998,28,1,0,0,0,0,0,1,7,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,1,2
1,225,26,28,251.81799999999998,24,1,1,2,1,0,0,0,1,2
3,289,36,33,251.81799999999998,30,1,2,1,0,0,0,1,3,2
3,260,50,36,251.81799999999998,23,1,4,0,0,0,0,1,10,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,17,2
2,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,13,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,15,2
8,179,51,38,251.81799999999998,31,1,0,0,1,0,0,0,16,2
8,246,25,41,251.81799999999998,23,1,0,0,0,0,0,1,16,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,17,2
8,189,29,33,251.81799999999998,25,1,2,2,0,0,0,1,13,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,13,2
2,246,25,41,251.81799999999998,23,1,0,0,0,0,0,1,21,2
2,291,31,40,251.81799999999998,25,1,1,1,0,0,0,1,21,2
16,157,27,29,251.81799999999998,22,1,0,0,1,0,0,0,22,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,22,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,24,2
24,246,25,41,251.81799999999998,23,1,0,0,1,0,0,0,24,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,22,2
3,179,51,38,251.81799999999998,31,1,0,0,0,0,0,1,24,2
8,118,10,37,244.387,28,1,0,0,0,0,1,0,7,3
16,246,25,41,244.387,23,1,0,0,0,0,1,0,8,3
2,246,25,41,244.387,23,1,0,0,0,0,0,1,10,3
4,260,50,36,244.387,23,1,4,0,0,0,0,1,10,3
2,179,51,38,244.387,31,1,0,0,0,0,0,1,13,3
8,235,11,37,244.387,29,3,1,1,0,0,0,1,13,3
8,179,22,40,244.387,22,2,2,0,0,0,0,1,14,3
8,378,49,36,244.387,21,1,2,4,0,0,0,1,14,3
16,179,51,38,244.387,31,1,0,0,0,0,0,1,20,3
8,361,52,28,244.387,27,1,1,4,0,0,0,1,22,3
0,369,17,31,244.387,25,1,3,0,0,0,0,0,22,3
8,235,11,37,244.387,29,3,1,1,0,0,1,0,23,3
2,118,13,50,244.387,31,1,1,0,0,0,0,1,24,3
3,118,13,50,244.387,31,1,1,0,1,0,0,0,28,3
8,118,13,50,244.387,31,1,1,0,1,0,0,0,29,3
0,235,11,37,244.387,29,3,1,1,0,0,0,0,30,3
0,246,25,41,244.387,23,1,0,0,0,0,0,0,30,3
0,118,13,50,244.387,31,1,1,0,0,0,0,0,30,3
8,179,51,38,244.387,31,1,0,0,0,0,0,1,31,3
8,289,36,33,244.387,30,1,2,1,0,0,0,1,31,3
8,260,50,36,244.387,23,1,4,0,0,0,1,0,27,3
2,246,25,41,244.387,23,1,0,0,0,0,0,1,28,3
4,179,51,38,239.40900000000002,31,1,0,0,0,0,0,1,5,4
3,260,50,36,239.40900000000002,23,1,4,0,0,0,0,1,7,4
4,330,16,28,239.40900000000002,25,2,0,0,0,0,0,1,7,4
4,369,17,31,239.40900000000002,25,1,3,0,0,0,0,1,10,4
4,248,25,47,239.40900000000002,32,1,2,1,0,0,0,1,10,4
8,330,16,28,239.40900000000002,25,2,0,0,0,0,0,1,12,4
8,179,51,38,239.40900000000002,31,1,0,0,0,0,0,1,12,4
1,118,13,50,239.40900000000002,31,1,1,0,0,0,0,1,17,4
120,118,13,50,239.40900000000002,31,1,1,0,1,0,0,0,19,4
8,300,26,43,239.40900000000002,25,1,2,1,0,0,0,1,28,4
